area_title,state_code,aii,total_employment,gini,entropy,delta_creative_class,delta_total_emp
"Omaha-Council Bluffs, NE-IA",NE,0.07974378651539021,426800,0.4549,,29690,21360
"Reno, NV",NV,0.0797356256898536,215300,0.4656,2.332114308457967,22060,60080
"Tucson, AZ",AZ,0.07970198962657794,325590,0.4679,2.259344435951326,16870,30760
"Lansing-East Lansing, MI",MI,0.07969470136083466,171120,0.4477,2.271010918203372,7820,7190
"St. Cloud, MN",MN,0.07962199694125616,82100,0.4237,2.263147751777462,5390,4210
"Crestview-Fort Walton Beach-Destin, FL",FL,0.07960363002953659,103730,0.4554,2.268226508366873,16570,45470
"Sioux City, IA-NE-SD",IA,0.07960049754573245,75100,0.4379,2.310054732065455,6690,16820
"Raleigh, NC",NC,0.07954417370572543,590880,,,81000,157970
"Johnson City, TN",TN,0.0794980227342513,66210,0.4809,2.28503065585216,830,2420
"Albany, OR",OR,0.07944529879756887,35780,,2.2731822662324284,,
"Napa, CA",CA,0.0794205079257426,61930,0.4757,2.3146912341749717,3050,11460
"Bremerton-Silverdale, WA",WA,0.07936714846746876,74190,,,4780,12220
"Fayetteville, NC",NC,0.07935391418405363,108350,0.4482,2.2486206138298357,6430,1160
"Salt Lake City, UT",UT,0.07924409788303219,686690,0.4273,,104310,159240
"Medford, OR",OR,0.07921924782459167,71530,0.4562,2.2434664365433434,5000,12730
"Bay City, MI",MI,0.07919834236082521,25150,0.4378,2.1938731768594764,1170,350
"Arecibo, PR",PR,0.07917623152289431,24900,0.5082,2.2775020405773794,,
"Providence-Warwick, RI-MA",RI,0.0791654774505517,496840,0.4605,2.2497055754347275,22730,21960
"Yuma, AZ",AZ,0.07908342325037201,56860,0.4574,2.3733822257955537,5290,12060
"Las Cruces, NM",NM,0.07905060559113206,57610,0.4812,2.2450580576219403,2120,6390
"Grand Island, NE",NE,0.07901558815367353,32270,0.4382,2.299627815134142,,
"Fort Smith, AR-OK",AR,0.0789700054688298,90920,0.481,2.3195705434696325,1230,-7820
"Valdosta, GA",GA,0.07890512223940756,42570,0.4928,2.2926412110369143,3010,3350
"Lewiston-Auburn, ME",ME,0.07887510987175052,37470,0.4299,2.233567816026135,240,70
"Waterbury, CT",CT,0.07884394285464963,51880,,,1710,2680
"Redding, CA",CA,0.07882118355869512,52650,0.4601,2.329178671652856,4120,9490
"Beaumont-Port Arthur, TX",TX,0.07880643073469637,128540,0.4644,2.313980813293211,6390,-6020
"Lewiston, ID-WA",ID,0.07879457727144212,19930,0.461,2.188216782390579,1460,4280
"Austin-Round Rock, TX",TX,0.07876308116547169,1032720,,,178740,364260
"Tallahassee, FL",FL,0.07865326969753471,150230,0.4962,2.2291882075630265,11690,20020
"Laredo, TX",TX,0.0785714639838287,80050,0.4614,2.281047663165659,5810,11970
"Hanford-Corcoran, CA",CA,0.07845857150834991,29410,0.4126,2.3201380846544275,1030,6450
"Cleveland, TN",TN,0.07844147737337834,35380,0.4487,2.3070639925655736,1210,7910
"Urban Honolulu, HI",HI,0.07842639799480913,370840,0.4386,2.28441895137699,,
"Athens-Clarke County, GA",GA,0.07832895839418431,70630,0.5075,2.251071259892785,5820,10390
"Elmira, NY",NY,0.07831561910958587,24390,0.4596,2.1684447059579544,-220,-3780
"Amarillo, TX",TX,0.07827897823967993,96010,0.4624,2.3677234723688376,4200,5270
"El Paso, TX",TX,0.07825486045223509,272770,0.4663,2.3058966278317614,19240,40710
"Sherman-Denison, TX",TX,0.07824203078854282,37400,0.4466,2.308131615528168,2750,6700
"Billings, MT",MT,0.0782238616974324,75470,0.459,2.362307595791255,3900,6010
"Grand Junction, CO",CO,0.07820492316708812,52510,0.4395,2.2919968914595668,7470,6470
"Norwich-New London-Westerly, CT-RI",CT,0.07797665695137693,94510,,,-3940,-8980
"Texarkana, TX-AR",TX,0.07788260808467248,46090,0.4824,2.289941948745309,3060,2240
"Sumter, SC",SC,0.07788006800573063,26310,0.4623,2.2077402873748424,970,1850
"Muncie, IN",IN,0.07784728785448095,34390,0.4475,2.1820637187372727,180,-320
"Olympia-Tumwater, WA",WA,0.0777797916874786,101870,,,14220,27010
"Wheeling, WV-OH",WV,0.07773767131953417,47940,0.4731,2.302985673109617,1390,-6070
"Corpus Christi, TX",TX,0.07766050298510206,155050,0.4622,2.312988366753583,10170,1090
"Yakima, WA",WA,0.07759110758451951,78250,0.4216,2.3172037659883635,2920,15880
"Greeley, CO",CO,0.07751764658344275,89500,0.4201,2.3817540645600106,7880,27200
"Wichita Falls, TX",TX,0.07744969493869719,44460,0.4554,2.3158413315353776,2110,90
"Aguadilla-Isabela, PR",PR,0.07741806000526974,39620,0.5239,,910,8300
"Michigan City-La Porte, IN",IN,0.07741574370631739,30670,0.4324,2.2119412529795253,230,-1330
"Goldsboro, NC",NC,0.07740919017941046,31110,0.4663,2.2699336726514088,1060,910
