"Label (Grouping)","Total:!!Agriculture, forestry, fishing and hunting, and mining","Total:!!Construction","Total:!!Manufacturing","Total:!!Wholesale trade","Total:!!Retail trade","Total:!!Transportation and warehousing, and utilities","Total:!!Information","Total:!!Finance and insurance, and real estate and rental and leasing","Total:!!Professional, scientific, and management, and administrative and waste management services","Total:!!Educational services, and health care and social assistance","Total:!!Arts, entertainment, and recreation, and accommodation and food services","Total:!!Other services, except public administration","Total:!!Public administration"
"Des Moines-West Des Moines, IA Metro Area","","","","","","","","","","","","",""
"    Estimate","5,614","31,601","38,930","11,745","41,754","21,134","6,331","53,528","40,902","83,452","31,251","19,097","13,612"
"Detroit-Warren-Dearborn, MI Metro Area","","","","","","","","","","","","",""
"    Estimate","8,921","114,819","414,437","36,981","219,412","103,734","27,856","137,305","255,536","449,395","179,339","93,090","67,965"
"Dothan, AL Metro Area","","","","","","","","","","","","",""
"    Estimate","1,826","4,659","7,976","2,350","9,119","5,439","677","2,499","3,897","16,116","5,578","3,844","4,147"
"Dover, DE Metro Area","","","","","","","","","","","","",""
"    Estimate","780","6,564","8,132","1,760","11,476","5,781","678","6,073","6,198","22,485","7,970","3,286","10,797"
"Dubuque, IA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,230","1,786","8,772","1,289","6,273","2,633","1,066","4,807","3,769","13,614","3,282","2,377","1,041"
"Duluth, MN-WI Metro Area","","","","","","","","","","","","",""
"    Estimate","4,223","9,296","11,857","2,746","16,265","9,958","1,732","7,318","10,940","42,075","14,266","6,029","7,240"
"Durham-Chapel Hill, NC Metro Area","","","","","","","","","","","","",""
"    Estimate","1,190","18,617","31,896","3,847","28,936","8,751","5,271","16,306","56,113","102,164","22,547","16,705","11,983"
"Eagle Pass, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","1,774","1,460","1,550","720","3,022","1,915","128","766","839","4,266","1,719","1,082","2,051"
"Eau Claire, WI Metro Area","","","","","","","","","","","","",""
"    Estimate","968","5,111","14,224","1,553","12,626","5,402","1,383","5,254","6,591","24,167","6,467","4,409","3,580"
"El Centro, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","6,992","4,056","3,000","950","8,059","5,188","394","1,968","5,198","16,452","4,838","2,839","4,925"
"Elizabethtown, KY Metro Area","","","","","","","","","","","","",""
"    Estimate","325","3,715","10,455","1,401","6,278","5,200","627","2,402","5,904","10,972","5,825","3,136","3,651"
"Elkhart-Goshen, IN Metro Area","","","","","","","","","","","","",""
"    Estimate","1,431","6,282","35,007","1,603","9,356","3,188","1,341","4,010","6,082","18,491","6,979","4,785","1,807"
"Elmira, NY Metro Area","","","","","","","","","","","","",""
"    Estimate","245","2,002","4,933","325","4,026","1,659","576","1,468","2,792","11,707","3,504","1,737","2,547"
"El Paso, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","3,989","32,177","20,597","8,031","43,588","31,490","7,324","19,157","43,987","95,245","40,219","17,537","26,215"
"Enid, OK Metro Area","","","","","","","","","","","","",""
"    Estimate","1,116","3,011","2,325","958","4,603","1,828","172","895","1,768","6,226","2,517","1,646","1,535"
"Erie, PA Metro Area","","","","","","","","","","","","",""
