State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
Alabama,12/1/2023,4060,2324,57.2,0.0,2264,59,-19.9,2.6,117,18.2,-58,0.51,54,2.5,83,3.8
Alaska,12/1/2023,550,358,65.1,0.4,342,16,-16.1,4.5,27,17.4,-11,0.60,11,3.4,20,6.1
Arizona,12/1/2023,6019,3738,62.1,0.2,3577,161,-4.2,4.3,191,24.8,-30,0.84,87,2.7,117,3.7
Arkansas,12/1/2023,2416,1392,57.6,-0.3,1344,48,-0.6,3.4,77,20.3,-29,0.62,33,2.4,52,3.8
California,12/1/2023,31111,19357,62.2,-0.8,18374,983,14.2,5.1,775,-4.1,208,1.27,289,1.6,433,2.4
Colorado,12/1/2023,4752,3249,68.4,-0.4,3140,110,10.7,3.4,232,84.1,-122,0.47,74,2.5,127,4.4
Connecticut,12/1/2023,2964,1900,64.1,-2.4,1828,72,-3.7,3.8,85,26.9,-13,0.85,30,1.8,53,3.1
Delaware,12/1/2023,844,511,60.6,-0.3,489,22,23.8,4.2,28,27.3,-6,0.78,13,2.7,23,4.7
District of Columbia,12/1/2023,557,400,71.9,0.7,380,20,-9.9,5.1,37,23.3,-17,0.55,14,1.8,24,3.1
Florida,12/1/2023,18767,11194,59.6,0.2,10860,334,8.4,3.0,524,21.3,-190,0.64,275,2.8,398,4.0
Georgia,12/1/2023,8710,5363,61.6,-1.3,5181,183,-2.9,3.4,297,25.3,-114,0.61,118,2.4,226,4.6
Hawaii,12/1/2023,1123,675,60.1,-1.1,655,20,32.0,2.9,30,0.0,-10,0.66,12,1.9,17,2.7
Idaho,12/1/2023,1562,976,62.4,-1.6,943,33,29.9,3.3,54,38.5,-21,0.60,28,3.2,35,4.1
Illinois,12/1/2023,9994,6466,64.7,0.4,6156,310,23.9,4.8,391,51.0,-81,0.79,133,2.2,222,3.6
Indiana,12/1/2023,5414,3420,63.2,-1.1,3296,124,7.8,3.6,165,5.1,-41,0.75,87,2.6,119,3.6
Iowa,12/1/2023,2540,1721,67.7,-1.5,1665,56,23.4,3.2,88,14.3,-32,0.63,40,2.5,54,3.4
Kansas,12/1/2023,2284,1517,66.4,-0.7,1474,43,-12.6,2.8,86,26.5,-43,0.50,37,2.5,51,3.5
Kentucky,12/1/2023,3566,2033,57.0,-1.6,1945,88,2.7,4.3,112,15.5,-24,0.78,52,2.6,74,3.6
Louisiana,12/1/2023,3546,2088,58.9,0.6,2010,78,-20.8,3.7,112,23.1,-34,0.69,51,2.6,83,4.2
Maine,12/1/2023,1171,691,59.0,-2.8,670,22,-2.4,3.2,44,41.9,-22,0.50,18,2.7,23,3.5
Maryland,12/1/2023,4904,3197,65.2,-4.1,3135,62,-47.0,1.9,172,4.9,-110,0.36,56,2.0,111,4.0
Massachusetts,12/1/2023,5771,3743,64.9,-1.2,3623,120,12.8,3.2,226,37.0,-106,0.53,54,1.4,103,2.7
Michigan,12/1/2023,8109,5045,62.2,0.9,4829,216,15.5,4.3,252,17.2,-36,0.86,105,2.4,148,3.3
Minnesota,12/1/2023,4552,3100,68.1,-1.8,3009,91,-17.1,2.9,209,52.6,-118,0.44,75,2.5,111,3.7
Mississippi,12/1/2023,2288,1230,53.8,-2.2,1190,40,-45.4,3.3,71,36.5,-31,0.57,32,2.7,50,4.3
Missouri,12/1/2023,4926,3120,63.3,-0.6,3018,102,-2.1,3.3,173,40.7,-71,0.59,70,2.3,98,3.3
Montana,12/1/2023,929,582,62.7,-1.0,563,19,-4.1,3.2,36,28.6,-17,0.51,18,3.4,23,4.4
Nebraska,12/1/2023,1535,1058,68.9,-1.2,1033,25,-22.4,2.3,61,22.0,-36,0.40,26,2.5,37,3.5
Nevada,12/1/2023,2594,1623,62.5,-1.7,1535,87,27.7,5.4,91,24.7,-4,0.96,39,2.5,54,3.4
New Hampshire,12/1/2023,1176,762,64.8,-3.7,743,19,-6.6,2.5,38,11.8,-19,0.50,15,2.1,27,3.8
New Jersey,12/1/2023,7453,4841,64.9,0.6,4609,232,20.5,4.8,219,11.2,13,1.06,74,1.7,161,3.7
New Mexico,12/1/2023,1691,969,57.3,-0.7,931,38,-23.8,4.0,60,25.0,-22,0.64,22,2.5,31,3.5
New York,12/1/2023,15865,9780,61.6,0.8,9344,436,7.2,4.5,454,6.1,-18,0.96,163,1.7,286,2.9
North Carolina,12/1/2023,8685,5279,60.8,-0.5,5094,185,-2.8,3.5,283,21.5,-98,0.65,91,1.8,163,3.3
North Dakota,12/1/2023,603,417,69.1,0.0,409,8,-13.5,1.9,29,20.8,-21,0.27,13,3.0,18,4.1
Ohio,12/1/2023,9373,5806,61.9,-1.6,5591,214,-20.6,3.7,328,28.1,-114,0.65,132,2.3,181,3.2
Oklahoma,12/1/2023,3150,1974,62.7,2.0,1906,68,17.4,3.4,103,25.6,-35,0.66,43,2.5,72,4.1
Oregon,12/1/2023,3476,2152,61.9,0.9,2072,80,7.6,3.7,108,0.0,-28,0.75,52,2.6,63,3.2
Pennsylvania,12/1/2023,10505,6528,62.1,-0.8,6303,226,-26.8,3.5,380,34.8,-154,0.59,117,1.9,196,3.2
Rhode Island,12/1/2023,902,575,63.8,-0.4,557,18,-13.3,3.2,29,20.8,-11,0.63,11,2.2,19,3.8
South Carolina,12/1/2023,4342,2477,57.0,-0.5,2402,75,9.7,3.0,161,47.7,-86,0.46,56,2.4,94,4.0
South Dakota,12/1/2023,718,485,67.6,-1.3,475,10,-15.2,2.0,29,26.1,-19,0.34,16,3.4,18,3.8
Tennessee,12/1/2023,5727,3403,59.4,-1.9,3282,121,4.2,3.5,193,39.9,-72,0.63,80,2.4,126,3.8
Texas,12/1/2023,23701,15204,64.1,0.3,14595,609,21.8,4.0,809,53.8,-200,0.75,331,2.3,555,3.9
Utah,12/1/2023,2615,1813,69.3,1.1,1762,51,25.9,2.8,87,17.6,-36,0.59,46,2.7,60,3.5
Vermont,12/1/2023,545,352,64.6,-1.3,344,8,-0.5,2.2,19,11.8,-11,0.41,7,2.3,13,4.2
Virginia,12/1/2023,6913,4623,66.9,1.2,4484,139,6.4,3.0,249,13.7,-110,0.56,95,2.3,165,4.0
Washington,12/1/2023,6316,4060,64.3,-1.1,3889,170,12.2,4.2,172,-12.7,-2,0.99,72,2.0,104,2.9
West Virginia,12/1/2023,1433,792,55.3,0.3,758,34,-19.9,4.3,50,2.0,-16,0.67,19,2.7,29,4.1
Wisconsin,12/1/2023,4780,3149,65.9,0.0,3044,105,13.2,3.3,212,32.5,-107,0.49,76,2.5,103,3.4
Wyoming,12/1/2023,465,298,64.0,-1.7,289,9,-35.3,3.0,19,5.6,-10,0.47,10,3.4,12,4.1
Alabama,11/1/2023,4058,2319,57.1,-0.1,2263,55,-25.2,2.4,122,23.2,-67,0.45,58,2.7,79,3.7
Alaska,11/1/2023,550,358,65.2,0.4,342,16,-18.0,4.4,25,8.7,-9,0.63,10,3.1,17,5.2
Arizona,11/1/2023,6011,3732,62.1,0.1,3573,159,-5.2,4.3,184,20.3,-25,0.87,87,2.7,138,4.4
Arkansas,11/1/2023,2414,1393,57.7,-0.2,1348,45,-5.7,3.3,81,26.6,-36,0.56,35,2.6,55,4.0
California,11/1/2023,31112,19360,62.2,-0.8,18407,954,10.8,4.9,800,-1.0,154,1.19,311,1.7,550,3.0
Colorado,11/1/2023,4748,3250,68.4,-0.3,3142,108,9.0,3.3,211,67.5,-103,0.51,68,2.3,130,4.5
Connecticut,11/1/2023,2964,1900,64.1,-2.4,1832,68,-9.3,3.6,88,31.3,-20,0.77,29,1.7,63,3.7
Delaware,11/1/2023,842,510,60.6,-0.3,489,22,23.3,4.2,30,36.4,-8,0.72,15,3.1,24,4.9
District of Columbia,11/1/2023,556,398,71.6,0.4,378,20,-11.9,5.0,37,23.3,-17,0.54,15,1.9,23,3.0
Florida,11/1/2023,18731,11190,59.7,0.3,10866,324,5.1,2.9,590,36.6,-266,0.55,268,2.7,396,4.0
Georgia,11/1/2023,8699,5361,61.6,-1.3,5176,184,-1.9,3.4,333,40.5,-149,0.55,139,2.8,224,4.5
Hawaii,11/1/2023,1123,675,60.1,-1.1,656,20,29.5,2.9,30,0.0,-10,0.65,11,1.7,21,3.3
Idaho,11/1/2023,1559,974,62.5,-1.6,942,32,28.2,3.3,56,43.6,-24,0.58,22,2.6,38,4.4
Illinois,11/1/2023,9997,6464,64.7,0.4,6158,306,22.3,4.7,326,25.9,-20,0.94,138,2.2,225,3.7
Indiana,11/1/2023,5411,3423,63.3,-1.0,3298,125,8.9,3.7,165,5.1,-40,0.76,88,2.7,138,4.2
Iowa,11/1/2023,2539,1729,68.1,-1.1,1672,57,26.6,3.3,90,16.9,-33,0.64,37,2.3,62,3.9
Kansas,11/1/2023,2283,1519,66.6,-0.6,1476,44,-11.1,2.9,79,16.2,-35,0.55,30,2.1,51,3.5
Kentucky,11/1/2023,3565,2037,57.1,-1.4,1949,87,2.3,4.3,118,21.6,-31,0.74,54,2.7,76,3.7
Louisiana,11/1/2023,3547,2087,58.8,0.6,2014,73,-25.7,3.5,122,34.1,-49,0.60,60,3.0,86,4.4
Maine,11/1/2023,1170,690,59.0,-2.9,669,21,-8.2,3.0,44,41.9,-23,0.47,15,2.3,25,3.8
Maryland,11/1/2023,4903,3196,65.2,-4.1,3140,57,-51.9,1.8,173,5.5,-116,0.33,69,2.5,107,3.9
Massachusetts,11/1/2023,5770,3729,64.6,-1.4,3621,108,1.0,2.9,239,44.8,-131,0.45,59,1.6,112,3.0
Michigan,11/1/2023,8108,5036,62.1,0.8,4821,216,15.2,4.3,234,8.8,-18,0.92,90,2.0,151,3.4
Minnesota,11/1/2023,4551,3107,68.3,-1.7,3011,96,-12.7,3.1,192,40.1,-96,0.50,68,2.3,110,3.7
Mississippi,11/1/2023,2288,1231,53.8,-2.1,1190,40,-45.3,3.3,88,69.2,-48,0.46,36,3.1,52,4.4
Missouri,11/1/2023,4924,3125,63.5,-0.5,3024,101,-3.1,3.2,176,43.1,-75,0.57,73,2.4,110,3.7
Montana,11/1/2023,927,581,62.6,-1.0,563,17,-10.4,3.0,36,28.6,-19,0.48,17,3.3,28,5.4
Nebraska,11/1/2023,1534,1059,69.0,-1.1,1035,24,-24.2,2.3,55,10.0,-31,0.44,22,2.1,37,3.5
Nevada,11/1/2023,2591,1616,62.4,-1.9,1529,87,27.2,5.4,88,20.5,-1,0.99,38,2.4,64,4.1
New Hampshire,11/1/2023,1175,761,64.8,-3.7,743,18,-12.1,2.3,41,20.6,-23,0.43,17,2.4,28,4.0
New Jersey,11/1/2023,7452,4848,65.1,0.7,4620,228,18.5,4.7,215,9.1,13,1.06,88,2.0,152,3.5
New Mexico,11/1/2023,1690,968,57.3,-0.7,931,38,-25.2,3.9,56,16.7,-18,0.68,22,2.5,35,4.0
New York,11/1/2023,15872,9788,61.7,0.8,9367,421,3.4,4.3,457,6.8,-36,0.92,161,1.7,282,2.9
North Carolina,11/1/2023,8673,5278,60.9,-0.4,5096,182,-4.4,3.5,290,24.5,-108,0.63,134,2.7,174,3.5
North Dakota,11/1/2023,603,417,69.1,0.0,409,8,-13.5,1.9,28,16.7,-20,0.28,11,2.5,18,4.1
Ohio,11/1/2023,9372,5809,62.0,-1.6,5597,212,-21.6,3.6,338,32.0,-126,0.63,131,2.3,204,3.6
Oklahoma,11/1/2023,3147,1965,62.5,1.8,1900,65,12.8,3.3,105,28.0,-40,0.62,50,2.9,81,4.7
Oregon,11/1/2023,3476,2148,61.8,0.8,2069,78,4.5,3.6,112,3.7,-34,0.70,49,2.4,79,3.9
Pennsylvania,11/1/2023,10505,6516,62.0,-0.9,6291,225,-27.2,3.4,390,38.3,-165,0.58,129,2.1,193,3.1
Rhode Island,11/1/2023,902,574,63.7,-0.5,557,17,-20.6,2.9,31,29.2,-14,0.54,11,2.2,21,4.2
South Carolina,11/1/2023,4334,2472,57.0,-0.5,2398,73,7.5,3.0,164,50.5,-91,0.45,65,2.8,106,4.6
South Dakota,11/1/2023,717,485,67.7,-1.2,475,10,-15.4,2.0,27,17.4,-17,0.37,11,2.4,19,4.1
Tennessee,11/1/2023,5720,3398,59.4,-1.9,3279,118,2.2,3.5,215,55.8,-97,0.55,108,3.3,140,4.2
Texas,11/1/2023,23659,15193,64.2,0.4,14577,616,23.3,4.1,742,41.1,-126,0.83,363,2.6,579,4.1
Utah,11/1/2023,2611,1813,69.5,1.2,1763,50,24.4,2.8,97,31.1,-47,0.52,43,2.5,73,4.2
Vermont,11/1/2023,545,351,64.4,-1.4,344,8,-3.0,2.1,19,11.8,-11,0.40,7,2.3,13,4.2
Virginia,11/1/2023,6909,4625,66.9,1.3,4493,132,1.3,2.9,259,18.3,-127,0.51,103,2.5,167,4.0
Washington,11/1/2023,6312,4058,64.3,-1.1,3896,162,6.4,4.0,172,-12.7,-10,0.94,61,1.7,117,3.2
West Virginia,11/1/2023,1433,791,55.2,0.2,758,33,-21.8,4.2,53,8.2,-20,0.62,22,3.1,33,4.7
Wisconsin,11/1/2023,4778,3146,65.9,0.0,3042,104,12.6,3.3,211,31.9,-107,0.49,71,2.4,108,3.6
Wyoming,11/1/2023,465,298,64.2,-1.5,289,9,-34.9,3.0,19,5.6,-10,0.47,9,3.1,13,4.4
Alabama,10/1/2023,4055,2313,57.0,-0.2,2261,52,-29.7,2.3,138,39.4,-86,0.38,56,2.6,92,4.3
Alaska,10/1/2023,550,358,65.1,0.4,342,15,-19.9,4.3,26,13.0,-11,0.59,11,3.4,18,5.5
Arizona,10/1/2023,6002,3719,62.0,0.0,3564,155,-7.8,4.2,193,26.1,-38,0.80,93,2.9,130,4.1
Arkansas,10/1/2023,2412,1393,57.8,-0.1,1351,43,-11.4,3.1,88,37.5,-45,0.48,37,2.7,59,4.3
California,10/1/2023,31112,19374,62.3,-0.8,18442,932,8.2,4.8,867,7.3,65,1.07,316,1.7,560,3.1
Colorado,10/1/2023,4744,3247,68.4,-0.3,3141,106,7.0,3.3,202,60.3,-96,0.52,65,2.2,117,4.0
Connecticut,10/1/2023,2963,1899,64.1,-2.4,1833,66,-12.2,3.5,102,52.2,-36,0.64,33,1.9,59,3.5
Delaware,10/1/2023,841,509,60.6,-0.3,488,21,22.0,4.2,33,50.0,-12,0.65,16,3.3,25,5.1
District of Columbia,10/1/2023,556,397,71.4,0.2,377,20,-12.4,5.0,43,43.3,-23,0.46,15,1.9,24,3.1
Florida,10/1/2023,18694,11173,59.8,0.3,10855,318,3.1,2.8,606,40.3,-288,0.52,283,2.9,427,4.4
Georgia,10/1/2023,8688,5349,61.6,-1.3,5166,183,-2.7,3.4,353,48.9,-170,0.52,140,2.8,214,4.3
Hawaii,10/1/2023,1123,675,60.1,-1.1,656,19,28.6,2.9,32,6.7,-13,0.61,13,2.1,21,3.3
Idaho,10/1/2023,1556,971,62.4,-1.7,940,31,25.2,3.2,55,41.0,-24,0.57,28,3.3,38,4.4
Illinois,10/1/2023,10000,6451,64.5,0.2,6155,297,18.5,4.6,371,43.2,-74,0.80,124,2.0,197,3.2
Indiana,10/1/2023,5408,3422,63.3,-1.0,3298,123,7.2,3.6,168,7.0,-45,0.73,85,2.6,122,3.7
Iowa,10/1/2023,2538,1736,68.4,-0.8,1680,56,23.9,3.2,83,7.8,-27,0.67,34,2.1,52,3.3
Kansas,10/1/2023,2282,1521,66.7,-0.5,1477,44,-10.4,2.9,81,19.1,-37,0.54,33,2.3,49,3.4
Kentucky,10/1/2023,3563,2041,57.3,-1.3,1955,86,0.2,4.2,131,35.1,-45,0.65,60,3.0,104,5.1
Louisiana,10/1/2023,3548,2087,58.8,0.6,2017,70,-28.9,3.3,148,62.6,-78,0.47,65,3.3,108,5.5
Maine,10/1/2023,1169,687,58.8,-3.1,668,19,-13.7,2.8,45,45.2,-26,0.43,14,2.2,26,4.0
Maryland,10/1/2023,4902,3197,65.2,-4.0,3142,55,-52.8,1.7,183,11.6,-128,0.30,69,2.5,109,3.9
Massachusetts,10/1/2023,5769,3721,64.5,-1.6,3619,102,-3.9,2.8,255,54.5,-153,0.40,55,1.5,125,3.3
Michigan,10/1/2023,8106,5013,61.8,0.5,4806,207,10.5,4.1,242,12.6,-35,0.86,92,2.1,142,3.2
Minnesota,10/1/2023,4549,3114,68.5,-1.5,3014,100,-9.1,3.2,201,46.7,-101,0.50,65,2.2,111,3.7
Mississippi,10/1/2023,2287,1233,53.9,-2.0,1193,40,-45.3,3.3,83,59.6,-43,0.48,35,3.0,53,4.5
Missouri,10/1/2023,4921,3130,63.6,-0.4,3032,98,-6.1,3.1,180,46.3,-82,0.54,67,2.2,110,3.7
Montana,10/1/2023,925,579,62.6,-1.1,563,16,-14.8,2.8,36,28.6,-20,0.46,18,3.5,25,4.8
Nebraska,10/1/2023,1533,1059,69.1,-1.0,1036,23,-26.7,2.2,59,18.0,-36,0.39,24,2.3,38,3.6
Nevada,10/1/2023,2587,1607,62.1,-2.1,1520,87,27.3,5.4,99,35.6,-12,0.88,40,2.6,62,4.0
New Hampshire,10/1/2023,1174,759,64.7,-3.8,743,16,-19.2,2.1,44,29.4,-28,0.37,15,2.1,29,4.1
New Jersey,10/1/2023,7450,4859,65.2,0.9,4636,223,16.0,4.6,228,15.7,-5,0.98,85,2.0,163,3.8
New Mexico,10/1/2023,1689,967,57.2,-0.8,930,37,-26.8,3.8,57,18.8,-20,0.65,23,2.6,34,3.9
New York,10/1/2023,15878,9774,61.6,0.7,9365,409,0.7,4.2,466,8.9,-57,0.88,148,1.5,274,2.8
North Carolina,10/1/2023,8661,5273,60.9,-0.4,5093,179,-5.9,3.4,312,33.9,-133,0.57,133,2.7,194,3.9
North Dakota,10/1/2023,603,417,69.2,0.1,409,8,-13.0,1.9,28,16.7,-20,0.28,12,2.7,18,4.1
Ohio,10/1/2023,9371,5809,62.0,-1.5,5602,207,-23.4,3.6,354,38.3,-147,0.58,117,2.1,231,4.1
Oklahoma,10/1/2023,3144,1957,62.3,1.6,1895,62,7.1,3.2,113,37.8,-51,0.55,46,2.7,85,4.9
Oregon,10/1/2023,3475,2144,61.7,0.7,2068,77,2.4,3.6,116,7.4,-39,0.66,50,2.5,76,3.8
Pennsylvania,10/1/2023,10505,6499,61.9,-1.0,6276,223,-27.6,3.4,380,34.8,-157,0.59,121,2.0,220,3.6
Rhode Island,10/1/2023,902,573,63.5,-0.7,557,16,-25.6,2.7,31,29.2,-15,0.50,11,2.2,21,4.2
South Carolina,10/1/2023,4326,2465,57.0,-0.5,2393,72,5.3,2.9,172,57.8,-100,0.42,75,3.2,105,4.5
South Dakota,10/1/2023,716,485,67.8,-1.1,475,10,-15.8,2.0,28,21.7,-18,0.35,12,2.6,18,3.9
Tennessee,10/1/2023,5712,3393,59.4,-1.9,3279,113,-2.1,3.3,293,112.3,-180,0.39,96,2.9,159,4.8
Texas,10/1/2023,23616,15162,64.2,0.4,14537,625,25.1,4.1,795,51.1,-170,0.79,383,2.7,550,3.9
Utah,10/1/2023,2606,1813,69.6,1.4,1764,49,21.7,2.7,102,37.8,-53,0.48,47,2.7,69,4.0
Vermont,10/1/2023,545,350,64.2,-1.6,343,7,-8.3,2.0,20,17.6,-13,0.36,7,2.3,13,4.2
Virginia,10/1/2023,6905,4616,66.8,1.2,4493,123,-5.9,2.7,260,18.7,-137,0.47,101,2.4,173,4.2
Washington,10/1/2023,6307,4056,64.3,-1.0,3903,153,1.0,3.8,170,-13.7,-17,0.90,74,2.0,112,3.1
West Virginia,10/1/2023,1433,790,55.2,0.2,759,32,-24.0,4.0,54,10.2,-22,0.59,23,3.3,34,4.8
Wisconsin,10/1/2023,4776,3142,65.8,-0.1,3040,102,10.3,3.2,206,28.8,-104,0.50,72,2.4,96,3.2
Wyoming,10/1/2023,464,298,64.2,-1.4,289,9,-36.8,2.9,19,5.6,-10,0.46,10,3.4,13,4.4
Alabama,9/1/2023,4052,2310,57.0,-0.3,2260,50,-32.4,2.2,137,38.4,-87,0.37,65,3.0,94,4.4
Alaska,9/1/2023,549,358,65.2,0.4,343,15,-22.9,4.1,32,39.1,-17,0.46,13,4.0,19,5.8
Arizona,9/1/2023,5992,3709,61.9,0.0,3561,148,-12.1,4.0,192,25.5,-44,0.77,86,2.7,130,4.1
Arkansas,9/1/2023,2410,1392,57.8,-0.1,1352,40,-16.9,2.9,90,40.6,-50,0.44,39,2.9,59,4.3
California,9/1/2023,31109,19384,62.3,-0.7,18471,914,6.1,4.7,961,18.9,-47,0.95,275,1.5,528,2.9
Colorado,9/1/2023,4740,3253,68.6,-0.1,3149,104,4.5,3.2,197,56.3,-93,0.53,88,3.0,100,3.4
Connecticut,9/1/2023,2962,1898,64.1,-2.4,1832,66,-12.3,3.5,96,43.3,-30,0.68,23,1.4,62,3.7
Delaware,9/1/2023,840,508,60.5,-0.4,487,21,19.9,4.1,33,50.0,-12,0.64,15,3.1,24,5.0
District of Columbia,9/1/2023,555,395,71.1,-0.1,375,20,-13.5,5.0,39,30.0,-19,0.50,16,2.1,24,3.1
Florida,9/1/2023,18654,11153,59.8,0.3,10844,309,0.4,2.8,616,42.6,-307,0.50,239,2.4,390,4.0
Georgia,9/1/2023,8676,5339,61.5,-1.4,5160,179,-4.8,3.4,333,40.5,-154,0.54,133,2.7,224,4.5
Hawaii,9/1/2023,1123,676,60.2,-1.1,656,19,27.2,2.8,35,16.7,-16,0.55,14,2.2,22,3.5
Idaho,9/1/2023,1553,969,62.4,-1.6,939,30,20.5,3.1,54,38.5,-24,0.56,26,3.0,33,3.9
Illinois,9/1/2023,10001,6448,64.5,0.2,6165,282,12.8,4.4,428,65.3,-146,0.66,118,1.9,222,3.6
Indiana,9/1/2023,5405,3426,63.4,-0.9,3304,122,5.8,3.6,170,8.3,-48,0.72,88,2.7,125,3.8
Iowa,9/1/2023,2537,1741,68.6,-0.6,1688,53,16.9,3.0,90,16.9,-37,0.59,44,2.8,54,3.4
Kansas,9/1/2023,2281,1522,66.7,-0.4,1479,42,-14.0,2.8,88,29.4,-46,0.48,38,2.6,54,3.7
Kentucky,9/1/2023,3562,2045,57.4,-1.2,1960,85,-0.6,4.1,126,29.9,-41,0.67,59,2.9,96,4.7
Louisiana,9/1/2023,3548,2090,58.9,0.6,2022,68,-30.8,3.3,140,53.8,-72,0.49,72,3.7,103,5.2
Maine,9/1/2023,1168,686,58.7,-3.1,667,18,-18.4,2.7,42,35.5,-24,0.43,11,1.7,26,4.0
Maryland,9/1/2023,4901,3197,65.2,-4.0,3144,53,-55.1,1.6,180,9.8,-127,0.29,71,2.6,105,3.8
Massachusetts,9/1/2023,5767,3716,64.4,-1.6,3619,97,-9.4,2.6,251,52.1,-154,0.38,46,1.2,127,3.4
Michigan,9/1/2023,8104,4990,61.6,0.3,4797,192,2.7,3.9,242,12.6,-50,0.79,92,2.1,153,3.4
Minnesota,9/1/2023,4547,3114,68.5,-1.5,3017,98,-11.1,3.1,203,48.2,-105,0.48,68,2.3,95,3.2
Mississippi,9/1/2023,2287,1236,54.1,-1.9,1196,40,-46.1,3.2,82,57.7,-42,0.48,37,3.2,49,4.2
Missouri,9/1/2023,4918,3131,63.7,-0.3,3039,92,-12.0,2.9,182,48.0,-90,0.50,75,2.5,100,3.4
Montana,9/1/2023,924,578,62.6,-1.0,563,15,-20.1,2.7,36,28.6,-21,0.43,17,3.3,24,4.6
Nebraska,9/1/2023,1532,1060,69.2,-0.9,1038,22,-30.9,2.1,62,24.0,-40,0.35,30,2.9,38,3.6
Nevada,9/1/2023,2584,1600,61.9,-2.3,1514,87,26.4,5.4,97,32.9,-10,0.89,42,2.7,58,3.7
New Hampshire,9/1/2023,1173,758,64.6,-3.9,743,15,-25.0,2.0,44,29.4,-29,0.34,13,1.9,30,4.3
New Jersey,9/1/2023,7447,4872,65.4,1.1,4658,214,11.4,4.4,220,11.7,-6,0.97,70,1.6,170,3.9
New Mexico,9/1/2023,1688,966,57.2,-0.8,929,36,-28.4,3.7,61,27.1,-25,0.59,22,2.5,33,3.8
New York,9/1/2023,15882,9776,61.6,0.7,9384,392,-3.5,4.0,461,7.7,-69,0.85,127,1.3,282,2.9
North Carolina,9/1/2023,8647,5265,60.9,-0.4,5088,177,-7.4,3.4,341,46.4,-164,0.52,141,2.9,202,4.1
North Dakota,9/1/2023,602,418,69.3,0.2,410,8,-14.1,1.9,29,20.8,-21,0.27,14,3.2,17,3.9
Ohio,9/1/2023,9368,5818,62.1,-1.4,5619,199,-26.2,3.4,352,37.5,-153,0.57,150,2.7,214,3.8
Oklahoma,9/1/2023,3140,1948,62.1,1.4,1890,58,0.6,3.0,115,40.2,-57,0.51,46,2.7,81,4.7
Oregon,9/1/2023,3474,2144,61.7,0.7,2069,75,0.2,3.5,114,5.6,-39,0.66,48,2.4,73,3.6
Pennsylvania,9/1/2023,10503,6497,61.9,-1.0,6275,222,-28.2,3.4,386,36.9,-164,0.57,112,1.8,203,3.3
Rhode Island,9/1/2023,902,572,63.4,-0.7,557,15,-29.1,2.6,31,29.2,-16,0.48,9,1.8,21,4.2
South Carolina,9/1/2023,4318,2462,57.0,-0.5,2390,72,5.0,2.9,170,56.0,-98,0.42,76,3.3,107,4.6
South Dakota,9/1/2023,714,484,67.8,-1.1,474,9,-19.6,1.9,30,30.4,-21,0.31,13,2.8,18,3.9
Tennessee,9/1/2023,5704,3386,59.4,-2.0,3278,108,-6.5,3.2,235,70.3,-127,0.46,101,3.0,150,4.5
Texas,9/1/2023,23570,15141,64.2,0.4,14516,625,25.1,4.1,809,53.8,-184,0.77,425,3.0,625,4.5
Utah,9/1/2023,2602,1814,69.7,1.5,1766,48,17.5,2.6,121,63.5,-73,0.39,56,3.2,59,3.4
Vermont,9/1/2023,545,349,64.1,-1.8,342,7,-15.1,1.9,18,5.9,-11,0.37,7,2.3,13,4.2
Virginia,9/1/2023,6900,4611,66.8,1.2,4494,116,-10.7,2.5,264,20.5,-148,0.44,108,2.6,154,3.7
Washington,9/1/2023,6301,4061,64.5,-0.9,3914,147,-3.2,3.6,184,-6.6,-37,0.80,76,2.1,111,3.1
West Virginia,9/1/2023,1433,789,55.1,0.1,759,30,-27.9,3.8,53,8.2,-23,0.57,24,3.4,33,4.7
Wisconsin,9/1/2023,4773,3139,65.8,-0.1,3042,97,4.5,3.1,211,31.9,-114,0.46,73,2.4,109,3.6
Wyoming,9/1/2023,464,299,64.4,-1.3,290,9,-37.2,2.9,19,5.6,-10,0.46,10,3.4,12,4.1
Alabama,8/1/2023,4049,2308,57.0,-0.3,2259,49,-34.5,2.1,129,30.3,-80,0.38,63,2.9,97,4.5
Alaska,8/1/2023,549,358,65.2,0.4,344,14,-26.6,3.9,24,4.3,-10,0.59,11,3.4,16,4.9
Arizona,8/1/2023,5982,3697,61.8,-0.1,3556,142,-15.7,3.8,199,30.1,-57,0.71,94,3.0,127,4.0
Arkansas,8/1/2023,2407,1390,57.7,-0.2,1352,37,-22.3,2.7,84,31.3,-47,0.44,37,2.7,59,4.3
California,8/1/2023,31106,19402,62.4,-0.6,18507,895,4.0,4.6,975,20.7,-80,0.92,312,1.7,620,3.4
Colorado,8/1/2023,4735,3255,68.7,0.0,3155,100,0.8,3.1,191,51.6,-91,0.52,67,2.3,87,3.0
